"filename", "language", "XML", "C#", "Properties", "comment", "blank", "total"
"c:\Users\Leo\Documents\Chess\.gitattributes", "Properties", 0, 0, 9, 5, 4, 18
"c:\Users\Leo\Documents\Chess\Chess.csproj", "XML", 76, 0, 0, 0, 0, 76
"c:\Users\Leo\Documents\Chess\Properties\AssemblyInfo.cs", "C#", 0, 10, 0, 9, 7, 26
"c:\Users\Leo\Documents\Chess\src\Board\Board.cs", "C#", 0, 199, 0, 12, 33, 244
"c:\Users\Leo\Documents\Chess\src\Board\BoardNode.cs", "C#", 0, 71, 0, 3, 19, 93
"c:\Users\Leo\Documents\Chess\src\Board\Move.cs", "C#", 0, 18, 0, 0, 3, 21
"c:\Users\Leo\Documents\Chess\src\Board\PieceDrawer.cs", "C#", 0, 66, 0, 0, 10, 76
"c:\Users\Leo\Documents\Chess\src\Board\Position.cs", "C#", 0, 38, 0, 10, 11, 59
"c:\Users\Leo\Documents\Chess\src\Board\SquareNode.cs", "C#", 0, 43, 0, 0, 13, 56
"c:\Users\Leo\Documents\Chess\src\Pieces\Bishop.cs", "C#", 0, 77, 0, 0, 9, 86
"c:\Users\Leo\Documents\Chess\src\Pieces\King.cs", "C#", 0, 31, 0, 0, 5, 36
"c:\Users\Leo\Documents\Chess\src\Pieces\Knight.cs", "C#", 0, 31, 0, 0, 6, 37
"c:\Users\Leo\Documents\Chess\src\Pieces\Pawn.cs", "C#", 0, 33, 0, 4, 7, 44
"c:\Users\Leo\Documents\Chess\src\Pieces\Piece.cs", "C#", 0, 41, 0, 0, 6, 47
"c:\Users\Leo\Documents\Chess\src\Pieces\Queen.cs", "C#", 0, 13, 0, 0, 1, 14
"c:\Users\Leo\Documents\Chess\src\Pieces\Rook.cs", "C#", 0, 61, 0, 0, 5, 66
"c:\Users\Leo\Documents\Chess\src\Pieces\black_bishop.svg", "XML", 17, 0, 0, 0, 1, 18
"c:\Users\Leo\Documents\Chess\src\Pieces\black_king.svg", "XML", 25, 0, 0, 0, 1, 26
"c:\Users\Leo\Documents\Chess\src\Pieces\black_knight.svg", "XML", 22, 0, 0, 0, 1, 23
"c:\Users\Leo\Documents\Chess\src\Pieces\black_pawn.svg", "XML", 7, 0, 0, 0, 1, 8
"c:\Users\Leo\Documents\Chess\src\Pieces\black_queen.svg", "XML", 34, 0, 0, 0, 1, 35
"c:\Users\Leo\Documents\Chess\src\Pieces\black_rook.svg", "XML", 39, 0, 0, 0, 1, 40
"c:\Users\Leo\Documents\Chess\src\Pieces\white_bishop.svg", "XML", 17, 0, 0, 0, 1, 18
"c:\Users\Leo\Documents\Chess\src\Pieces\white_king.svg", "XML", 27, 0, 0, 0, 1, 28
"c:\Users\Leo\Documents\Chess\src\Pieces\white_knight.svg", "XML", 19, 0, 0, 0, 1, 20
"c:\Users\Leo\Documents\Chess\src\Pieces\white_pawn.svg", "XML", 7, 0, 0, 0, 1, 8
"c:\Users\Leo\Documents\Chess\src\Pieces\white_queen.svg", "XML", 33, 0, 0, 0, 1, 34
"c:\Users\Leo\Documents\Chess\src\Pieces\white_rook.svg", "XML", 25, 0, 0, 0, 1, 26
"c:\Users\Leo\Documents\Chess\src\Players\HumanPlayer.cs", "C#", 0, 72, 0, 2, 13, 87
"c:\Users\Leo\Documents\Chess\src\Players\Player.cs", "C#", 0, 32, 0, 4, 8, 44
"c:\Users\Leo\Documents\Chess\src\Players\RandomPlayer.cs", "C#", 0, 26, 0, 0, 5, 31
"c:\Users\Leo\Documents\Chess\src\Resources.cs", "C#", 0, 27, 0, 0, 2, 29
"Total", "-", 348, 889, 9, 49, 179, 1474
